"ProblemID","RoundID","PS_Link","Contestants","Registrants","SuccessfulContestants","machine_learning","improve","target","data_type","data_external","task_type","submission_type","scoring_type","provisional_testing","system_vs_provisional","prize_nonmonetary","prize_threshold","data_volume","engagement_barrier","scoring_complexity","prize_pool","prize_extras","prize_number","prize_first","NumRounds","FirstSubmissionTime","Experience","ContestNoise"
5959,9874,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9874&pm=5959",497,517,448,"2-No","1-Yes","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","3-TC only","1-Similar","2-No","2-No",1.,1.,1.,0.,0.,0.,0.,1,3343656380,448,0
6058,9881,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9881&pm=6058",251,263,214,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","2-Relative","3-TC only","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3347802057,292,0
6088,9892,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9892&pm=6088",378,384,281,"2-No","2-No","2-Resource or Both","0-No data","2-No","2-Strategy","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3349622987,496,0
6164,9958,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9958&pm=6164",380,385,296,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3352038115,612,0
6217,9974,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9974&pm=6217",274,283,211,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3354454603,533,0
6377,10015,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10015&pm=6377",164,164,140,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3356265862,372,0
6383,10019,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10019&pm=6383",138,142,58,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3356895291,227,0.376667123941607
6518,10082,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10082&pm=6518",204,210,164,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3358688669,391,0.05470942765895737
6525,10083,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10083&pm=6525",78,82,64,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3359301237,263,0.029566769639221196
6550,10088,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10088&pm=6550",167,172,135,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","3-TC only","1-Similar","2-No","2-No",1.,1.5,1.5,0.,0.,0.,0.,1,3364136300,447,0.02622776759549089
6563,10086,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10086&pm=6563",195,204,178,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3361710374,484,0.01815823765020896
6592,10089,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10089&pm=6592",170,172,116,"2-No","2-No","2-Resource or Both","0-No data","2-No","2-Strategy","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3364742115,521,0.03922615160829094
6595,10087,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10087&pm=6595",194,198,177,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3362319506,669,0.007825913654489619
6686,10101,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10101&pm=6686",100,107,69,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3366562518,258,0.06340636779348158
6717,10685,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10685&pm=6717",87,88,70,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,3.,1.,0.,0.,0.,0.,1,3376848157,399,0.0034804388970491357
6727,10105,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10105&pm=6727",110,113,85,"2-No","2-No","2-Resource or Both","0-No data","2-No","2-Strategy","1-Code","2-Relative","2-TC preferred","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3367173842,412,0.008745285296664636
6732,10678,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10678&pm=6732",153,154,118,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,1.5,1.,0.,0.,0.,0.,1,3374415098,409,0.11538093728831345
6733,10123,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10123&pm=6733",172,173,161,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","2-Relative","3-TC only","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3370182579,682,0.02095722775297992
6759,10118,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10118&pm=6759",148,151,24,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,1.5,1.5,0.,0.,0.,0.,1,3369658586,132,0.08747109242711121
6858,10128,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10128&pm=6858",48,49,36,"2-No","2-No","1-Quality","0-No data","2-No","3-Optimization","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3371394127,200,0.2593724778794156
6878,10649,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10649&pm=6878",194,197,184,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","1-Absolute","2-TC preferred","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3372601651,799,0.008322916652636566
7297,10681,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10681&pm=7297",117,122,82,"2-No","2-No","2-Resource or Both","0-No data","2-No","3-Optimization","1-Code","1-Absolute","3-TC only","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3375032459,551,0.07090268297070766
7328,10692,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10692&pm=7328",140,142,81,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","1-Absolute","1-Shared","1-Similar","2-No","2-No",1.,2.,2.,0.,0.,0.,0.,1,3378055648,436,0.012437810977694728
7430,10696,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10696&pm=7430",60,65,51,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","1-Shared","1-Similar","2-No","2-No",1.,1.5,1.,0.,0.,0.,0.,1,3379267927,230,0.08552324981420792
7478,10704,"https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10704&pm=7478",170,173,160,"2-No","2-No","1-Quality","0-No data","2-No","2-Strategy","1-Code","2-Relative","3-TC only","1-Similar","2-No","2-No",1.,2.,1.,0.,0.,0.,0.,1,3380465393,741,0.013208891078658485
