problem_id,round_id,link,num_contestants,contestant_registrant_ratio,num_rounds,first_submission_time,last_submission_time,experience,engagement_barrier,scoring_complexity,prize_pool,prize_number,average_experience,duration,machine_learning,improve,target,task_type,submission_type,scoring_type,provisional_testing,system_vs_provisional,prize_nonmonetary,prize_threshold
5959,9874,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9874&pm=5959,497,0.9613152804642167,1,3343656380,3344259522,448,1.0,1.0,0.0,0.0,0.9014084507042254,168.0,No,Yes,Quality,Strategy,Code,Relative,TC only,Similar,No,No
6058,9881,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9881&pm=6058,251,0.9543726235741445,1,3347802057,3349011491,292,2.0,2.0,0.0,0.0,1.1633466135458168,336.0,No,No,Resource or Both,Optimization,Code,Relative,TC only,Similar,No,No
6088,9892,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9892&pm=6088,378,0.984375,1,3349622987,3350825847,496,2.0,1.0,0.0,0.0,1.312169312169312,335.0,No,No,Resource or Both,Strategy,Code,Relative,TC preferred,Similar,No,No
6164,9958,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9958&pm=6164,380,0.987012987012987,1,3352038115,3353327968,612,2.0,2.0,0.0,0.0,1.6105263157894736,359.0,No,No,Resource or Both,Optimization,Code,Absolute,TC preferred,Similar,No,No
6217,9974,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=9974&pm=6217,274,0.9681978798586572,1,3354454603,3355660722,533,2.0,1.0,0.0,0.0,1.9452554744525548,336.0,No,No,Quality,Optimization,Code,Absolute,TC preferred,Similar,No,No
6377,10015,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10015&pm=6377,164,1.0,1,3356265862,3356870305,372,2.0,2.0,0.0,0.0,2.268292682926829,168.0,No,No,Quality,Strategy,Code,Absolute,TC only,Similar,No,No
6383,10019,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10019&pm=6383,138,0.971830985915493,1,3356895291,3358173291,227,2.0,2.0,0.0,0.0,1.644927536231884,355.0,No,No,Resource or Both,Optimization,Code,Absolute,TC preferred,Similar,No,No
6518,10082,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10082&pm=6518,204,0.9714285714285714,1,3358688669,3359289585,391,2.0,1.0,0.0,0.0,1.9166666666666667,167.0,No,No,Quality,Strategy,Code,Absolute,TC preferred,Similar,No,No
6525,10083,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10083&pm=6525,78,0.9512195121951219,1,3359301237,3360498879,263,2.0,2.0,0.0,0.0,3.371794871794872,333.0,No,No,Resource or Both,Optimization,Code,Absolute,TC only,Similar,No,No
6550,10088,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10088&pm=6550,167,0.9709302325581395,1,3364136300,3364747110,447,1.5,1.5,0.0,0.0,2.6766467065868262,170.0,No,No,Quality,Strategy,Code,Relative,TC only,Similar,No,No
6563,10086,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10086&pm=6563,195,0.9558823529411765,1,3361710374,3362313450,484,2.0,1.0,0.0,0.0,2.482051282051282,168.0,No,No,Quality,Strategy,Code,Absolute,TC preferred,Similar,No,No
6592,10089,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10089&pm=6592,170,0.9883720930232558,1,3364742115,3365942195,521,2.0,2.0,0.0,0.0,3.0647058823529414,334.0,No,No,Resource or Both,Strategy,Code,Absolute,TC only,Similar,No,No
6595,10087,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10087&pm=6595,194,0.9797979797979798,1,3362319506,3363523145,669,2.0,2.0,0.0,0.0,3.448453608247423,335.0,No,No,Resource or Both,Optimization,Code,Absolute,TC only,Similar,No,No
6686,10101,https://community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=10101&pm=6686,100,0.9345794392523364,1,3366562518,3367151816,258,2.0,1.0,0.0,0.0,2.58,164.0,No,No,Quality,Strategy,Code,Absolute,TC preferred,Similar,No,No
