"stratum","round_id","coder_id","handle","point_total","num_submissions","attended","system_point_total","placed","old_rating","new_rating","old_vol","new_vol","rated_ind","advanced","provisional_placed","num_ratings","contestants_above","contestants_below","contestants_equal","sys_pos_percentile","first_pos_sub_time","last_pos_sub_time","contest_num","newcomer","Number_of_positive_subm","Number_of_complexities","Complexity_First","Complexity_Last","Complexity_Mean"
3.,13565,7213681,"wleite",77,3,"Y",389,1,2287,2323,247,236,1,"N",3,23,0,66,0,100.,3429826394,3429998843,26,"False",3,3,108,162,130.33333333333334
3.,12198,7213681,"wleite",67.94,6,"Y",758.92,9,2373,2322,375,354,1,"N",9,16,8,22,0,73.33333333333333,3416262515,3416728251,19,"False",6,6,58,98,86.16666666666667
3.,12200,7213681,"wleite",92.26,3,"Y",459.66,6,2296,2293,324,292,1,"N",7,18,5,32,0,86.48648648648648,3418765722,3419115611,21,"False",3,3,204,203,192.66666666666666
3.,13565,7527926,"Softwalker",33,1,"Y",161,24,1138,1179,267,254,1,"N",23,27,23,43,0,65.15151515151516,3429705606,3429705606,30,"False",1,1,108,108,108.
3.,12200,7527926,"Softwalker",15.7,4,"Y",75.87,24,997,1058,254,259,1,"N",24,23,23,14,0,37.83783783783784,3418602550,3418823448,26,"False",4,4,375,385,380.75
3.,13565,8400878,"shinh",48,3,"Y",217,11,1485,1570,600,534,1,"N",11,5,10,56,0,84.84848484848484,3429795478,3429909689,6,"False",3,3,159,166,163.33333333333334
3.,12200,8400878,"shinh",91.24,13,"Y",452.79,10,1779,1830,345,294,1,"N",10,3,9,28,0,75.67567567567568,3418831785,3419117686,4,"False",13,13,233,483,405.3076923076923
3.,13565,15635590,"Nickolas",38,2,"Y",172,21,1393,1406,317,281,1,"N",17,11,20,46,0,69.6969696969697,3429626844,3429850907,10,"False",2,2,55,70,62.5
3.,12198,15635590,"Nickolas",24.01,5,"Y",270.56,20,1232,1289,403,368,1,"N",20,8,19,11,0,36.666666666666664,3416313740,3416557958,7,"False",5,5,36,45,39.4
3.,13565,15781032,"brajeshlkw",22,6,"Y",109,36,1405,1360,206,207,1,"N",41,38,35,30,1,46.15384615384615,3429806415,3429980221,45,"False",6,0,"","",""
3.,12198,15781032,"brajeshlkw",19.31,7,"Y",210.04,21,1579,1557,138,132,1,"N",21,30,20,10,0,33.33333333333333,3416248691,3416711240,35,"False",7,0,"","",""
3.,12200,15781032,"brajeshlkw",0.68,2,"Y",4.53,34,1497,1406,170,241,1,"N",33,32,33,4,0,10.81081081081081,3419025813,3419156081,37,"False",2,0,"","",""
3.,13565,15927969,"anothermat",51,5,"Y",193,18,1383,1407,180,163,1,"N",10,7,17,49,0,74.24242424242425,3429924991,3430034789,7,"False",5,5,142,163,155.2
3.,12200,15927969,"anothermat",32.12,1,"Y",156.2,22,1311,1332,268,229,1,"N",22,4,21,16,0,43.24324324324324,3419159772,3419159772,4,"False",1,1,144,144,144.
3.,13565,21923970,"Irioth",44,1,"Y",195,17,1836,1803,392,357,1,"N",13,23,16,50,0,75.75757575757575,3429779729,3429779729,24,"False",1,1,131,131,131.
3.,12198,21923970,"Irioth",83.89,5,"Y",940.4,1,1530,1758,444,601,1,"N",1,18,0,30,0,100.,3416220939,3416658914,18,"False",5,5,55,103,82.2
3.,12200,21923970,"Irioth",92.1,7,"Y",452.5,11,1802,1829,544,489,1,"N",8,20,10,27,0,72.97297297297297,3418709872,3419070275,20,"False",7,7,128,334,268.
3.,13565,22074910,"[.]",56,2,"Y",265,10,1952,1926,232,215,1,"N",9,27,9,57,0,86.36363636363636,3429830683,3430014628,33,"False",2,2,169,193,181.
3.,12198,22074910,"[.]",55.58,4,"Y",636.95,16,1935,1885,267,259,1,"N",17,21,15,15,0,50.,3416421360,3416709546,27,"False",4,4,55,85,71.25
3.,13565,22685656,"Mimino",73,1,"Y",329,4,1830,1864,251,233,1,"N",4,16,3,63,0,95.45454545454545,3430025000,3430025000,16,"False",1,1,225,225,225.
3.,12198,22685656,"Mimino",58.52,5,"Y",650.26,15,1819,1793,215,196,1,"N",15,11,14,16,0,53.333333333333336,3416338268,3416590343,11,"False",5,5,27,50,34.4
3.,13565,22715204,"anoopsabir",0,3,"Y",0,68,938,825,208,275,1,"N",68,8,"","","","","","","","","","","","",""
3.,12198,22715204,"anoopsabir",0,2,"Y",0.02,32,811,907,419,373,1,"N",32,3,"","","","","","","","","","","","",""
3.,13565,22721952,"woldsom",11,2,"Y",42,63,1140,1036,269,289,1,"N",64,5,62,4,0,6.0606060606060606,3429778738,3429778738,5,"False",1,1,25,25,25.
3.,12200,22721952,"woldsom",50.69,3,"Y",261.48,19,1000,1186,385,380,1,"N",20,2,18,19,0,51.35135135135135,3418675460,3418934691,1,"False",3,3,63,96,77.66666666666667
4.,11136,10039742,"AnonnymousT",67.21,25,"Y",282.11,28,1143,1225,310,315,1,"N",7,11,27,96,0,78.04878048780488,3413337473,3414170867,14,"False",25,25,97,185,176.8
4.,14354,10039742,"AnonnymousT",82.33,6,"Y",821.54,21,1833,1817,446,401,1,"N",21,28,20,54,0,72.97297297297297,3491151235,3491329183,30,"False",6,6,42,61,55.333333333333336
4.,13795,10039742,"AnonnymousT",80.65,9,"Y",815.28,8,1249,1385,285,369,1,"N",9,17,7,109,0,93.96551724137932,3450121289,3450746786,19,"False",9,9,230,241,239.77777777777777
4.,11136,10435514,"synne",62.03,19,"Y",287.96,21,926,1118,253,372,1,"N",17,4,20,103,0,83.73983739837398,3413134686,3414064586,3,"False",18,18,71,153,130.11111111111111
4.,14354,10435514,"synne",86.16,13,"Y",856.66,11,1595,1665,418,394,1,"N",12,13,10,64,0,86.48648648648648,3491293874,3492244608,14,"False",13,13,52,139,105.76923076923077
4.,13795,10435514,"synne",56.25,9,"Y",623.33,43,1182,1225,291,265,1,"N",55,7,42,74,0,63.793103448275865,3450237118,3451207616,8,"False",9,9,69,88,81.22222222222223
4.,11136,16058913,"siara",54.85,10,"Y",243.95,68,1399,1356,324,297,1,"N",44,10,67,56,0,45.52845528455284,3413135313,3413543177,10,"False",10,10,71,163,144.9
4.,13795,16058913,"siara",57.22,2,"Y",584.55,53,1578,1529,366,341,1,"N",53,18,52,64,0,55.172413793103445,3450120888,3450347594,19,"False",2,2,116,136,126.
4.,11136,19841837,"cpphamza",59.36,16,"Y",265.46,36,1351,1378,286,255,1,"N",24,8,35,88,0,71.54471544715447,3413193042,3414223762,8,"False",16,16,28,105,96.75
4.,13795,19841837,"cpphamza",80.55,16,"Y",799.95,11,1330,1440,241,296,1,"N",10,10,10,106,0,91.37931034482759,3450116108,3450976056,11,"False",16,16,65,108,94.375
4.,11136,20994662,"baseballnut",54.4,7,"Y",261.2,39,1162,1214,216,221,1,"N",46,27,38,85,0,69.10569105691057,3413276279,3414326576,25,"False",7,7,70,278,189.42857142857142
4.,14354,20994662,"baseballnut",75.27,16,"Y",726.13,35,1223,1247,221,205,1,"N",32,47,34,40,0,54.054054054054056,3491321911,3492258208,50,"False",16,16,40,225,146.1875
4.,13795,20994662,"baseballnut",51.4,8,"Y",512.89,62,1158,1167,129,117,1,"N",62,38,61,55,0,47.41379310344828,3450020519,3450629108,40,"False",8,8,16,166,104.75
4.,11136,21990198,"alecn2002",35,4,"Y",165.03,119,866,827,332,306,1,"N",117,17,118,5,0,4.0650406504065035,3413210500,3413392354,16,"False",4,4,37,134,75.75
4.,14354,21990198,"alecn2002",28.08,5,"Y",283.01,66,1030,989,230,223,1,"N",66,29,65,9,0,12.162162162162163,3492150612,3492252010,33,"False",5,5,140,170,154.6
